order_item_id,order_id,product_id,quantity,unit_price
1,1001,22,1,3026.6
2,1002,1,1,620.58
3,1002,29,1,4622.23
4,1003,6,1,684.26
5,1003,9,1,3514.91
6,1003,40,1,5930.5
7,1004,1,2,620.58
8,1004,21,1,
9,1005,15,2,4574.17
10,1005,45,1,2266.41
11,1006,5,2,1614.65
12,1007,34,1,2810.73
13,1008,9,1,3514.91
14,1008,22,3,3026.6
15,1008,32,1,1486.25
16,1009,2,1,383.19
17,1010,42,2,3324.17
18,1011,35,1,1989.93
19,1011,40,1,5930.5
20,1012,45,1,2266.41
21,1013,17,1,3961.33
22,1014,41,1,4020.74
23,1014,1,1,620.58
24,1015,7,1,5777.18
25,1016,7,1,5777.18
26,1017,34,2,2810.73
27,1017,13,1,1726.64
28,1017,23,1,683.77
29,1018,1,1,620.58
30,1019,37,1,5825.58
31,1020,33,1,3368.07
32,1021,42,1,3324.17
33,1021,15,2,4574.17
34,1021,30,2,1836.07
35,1021,19,1,1211.71
36,1022,3,1,2677.37
37,1023,22,2,3026.6
38,1023,23,1,683.77
39,1024,22,1,3026.6
40,1025,18,2,5509.03
41,1025,25,2,2099.85
42,1025,45,1,2266.41
43,1025,31,3,5679.38
44,1026,38,1,2514.42
45,1027,40,1,5930.5
46,1028,44,2,1247.36
47,1029,31,2,5679.38
48,1029,32,1,
49,1029,8,2,5040.36
50,1030,37,3,5825.58
51,1030,15,1,4574.17
52,1031,7,1,5777.18
53,1031,28,1,2079.35
54,1032,36,2,2041.15
55,1033,11,1,5997.5
56,1034,11,2,5997.5
57,1034,5,1,1614.65
58,1035,36,1,2041.15
59,1035,42,1,3324.17
60,1036,6,1,684.26
61,1036,32,1,3972.23
62,1037,36,1,2041.15
63,1038,40,2,5930.5
64,1038,41,1,2818.82
65,1038,20,2,3574.18
66,1039,22,1,3026.6
67,1039,36,1,2041.15
68,1039,40,1,5930.5
69,1040,23,2,683.77
70,1041,34,1,2810.73
71,1042,32,1,3723.48
72,1042,9,3,3514.91
73,1042,27,1,5167.74
74,1043,7,1,5777.18
75,1043,27,1,5167.74
76,1044,30,3,1836.07
77,1044,43,1,2567.5
78,1044,38,1,2514.42
79,1045,31,1,5679.38
80,1045,33,2,3368.07
81,1045,12,1,4082.85
82,1046,25,1,2099.85
83,1047,16,1,2902.43
84,1047,18,1,5509.03
85,1048,39,2,3160.39
86,1049,45,1,2266.41
87,1050,36,1,2041.15
88,1050,41,2,4166.68
89,1051,42,3,3324.17
90,1052,41,2,4600.53
91,1052,21,1,3863.49
92,1053,44,1,1247.36
93,1053,35,2,1989.93
94,1054,10,1,5712.1
95,1055,11,-1,5997.5
96,1056,4,1,2035.58
97,1057,3,1,2677.37
98,1057,23,2,683.77
99,1057,29,2,3433.43
100,1058,45,1,2266.41
101,1058,19,1,1211.71
102,1058,43,1,2567.5
103,1059,17,1,3961.33
104,1060,29,2,3938.65
105,1060,15,1,4574.17
106,1060,41,2,5791.1
107,1061,44,1,1247.36
108,1062,8,1,5040.36
109,1062,25,1,2099.85
110,1063,1,2,620.58
111,1063,22,1,3026.6
112,1063,30,1,1836.07
113,1064,43,1,2567.5
114,1064,20,1,3574.18
115,1065,15,3,4574.17
116,1066,11,1,5997.5
117,1066,27,1,5167.74
118,1066,35,1,1989.93
119,1067,40,1,5930.5
120,1068,42,1,3324.17
121,1068,1,3,620.58
122,1068,8,1,5040.36
123,1069,21,3,3863.49
124,1069,25,1,2099.85
125,1070,34,2,2810.73
126,1071,29,1,3961.44
127,1071,32,1,711.35
128,1071,3,2,2677.37
129,1072,14,1,385.36
130,1072,43,1,2567.5
131,1073,45,2,2266.41
132,1074,5,2,1614.65
133,1075,22,1,3026.6
134,1075,3,2,2677.37
135,1076,15,1,4574.17
136,1076,17,1,3961.33
137,1077,8,1,5040.36
138,1078,38,2,2514.42
139,1078,3,3,2677.37
140,1079,20,1,3574.18
141,1079,39,1,3160.39
142,1079,6,1,684.26
143,1080,26,2,4070.28
144,1081,41,1,4112.14
145,1082,42,1,3324.17
146,1082,24,1,
147,1082,1,1,620.58
148,1083,20,3,3574.18
149,1083,14,1,385.36
150,1083,23,1,683.77
151,1083,27,1,5167.74
152,1084,4,1,2035.58
153,1084,36,1,2041.15
154,1085,38,1,2514.42
155,1086,42,1,3324.17
156,1087,13,1,1726.64
157,1088,20,1,3574.18
158,1088,45,1,2266.41
159,1089,1,1,620.58
160,1090,42,1,3324.17
161,1090,28,1,2079.35
162,1091,29,2,2998.78
163,1091,23,1,683.77
164,1092,9,2,3514.91
165,1093,41,2,5368.82
166,1093,5,1,1614.65
167,1094,38,3,2514.42
168,1094,14,1,385.36
169,1095,10,1,5712.1
170,1095,24,1,2185.57
171,1096,33,1,3368.07
172,1097,43,2,2567.5
173,1097,16,1,2902.43
174,1098,29,1,5699.96
175,1098,11,3,5997.5
176,1099,23,1,683.77
177,1099,3,1,2677.37
178,1100,14,1,385.36
179,1101,30,2,1836.07
180,1102,7,1,5777.18
181,1102,34,2,2810.73
182,1103,25,1,2099.85
183,1103,42,2,3324.17
184,1104,15,1,4574.17
185,1105,32,1,5309.9
186,1105,31,1,5679.38
187,1105,39,1,3160.39
188,1106,39,2,3160.39
189,1107,22,2,3026.6
190,1108,14,1,385.36
191,1108,38,1,2514.42
192,1109,11,1,5997.5
193,1109,9,1,3514.91
194,1110,12,1,4082.85
195,1111,41,3,1417.07
196,1111,2,1,383.19
197,1111,43,1,2567.5
198,1111,19,1,1211.71
199,1112,40,1,5930.5
200,1112,43,1,2567.5
201,1112,33,1,3368.07
202,1113,7,1,5777.18
203,1114,44,1,1247.36
204,1114,27,1,5167.74
205,1114,10,2,5712.1
206,1114,39,1,3160.39
207,1115,39,1,
208,1116,44,1,1247.36
209,1116,42,1,3324.17
210,1116,28,3,2079.35
211,1116,34,2,2810.73
212,1117,45,1,2266.41
213,1117,37,2,5825.58
214,1117,7,1,5777.18
215,1118,17,1,3961.33
216,1118,13,1,1726.64
217,1119,25,1,2099.85
218,1119,42,1,3324.17
219,1120,38,1,2514.42
220,1121,24,1,2185.57
221,1122,14,1,385.36
222,1123,24,1,2185.57
223,1123,36,1,2041.15
224,1124,9,1,3514.91
225,1124,43,2,2567.5
226,1125,33,1,3368.07
227,1126,45,2,2266.41
228,1126,44,3,
229,1127,10,1,5712.1
230,1128,17,1,3961.33
231,1129,25,3,2099.85
232,1130,19,1,1211.71
233,1130,39,1,3160.39
234,1131,43,3,2567.5
235,1132,39,1,3160.39
236,1133,44,1,1247.36
237,1133,3,3,2677.37
238,1134,26,1,4070.28
239,1135,34,2,2810.73
240,1135,1,1,620.58
241,1136,38,1,2514.42
242,1136,23,1,683.77
243,1136,18,1,5509.03
244,1137,36,1,2041.15
245,1137,5,1,1614.65
246,1138,35,2,1989.93
247,1139,25,1,2099.85
248,1139,37,1,5825.58
249,1140,38,1,2514.42
250,1140,2,1,383.19
251,1141,45,1,2266.41
252,1142,34,2,2810.73
253,1142,35,1,1989.93
254,1142,1,2,620.58
255,1142,45,3,2266.41
256,1143,37,1,5825.58
257,1144,13,2,1726.64
258,1144,32,1,1702.62
259,1145,40,2,5930.5
260,1145,23,1,683.77
261,1145,10,1,
262,1146,3,1,2677.37
263,1146,31,-1,5679.38
264,1146,24,2,2185.57
265,1147,33,2,3368.07
266,1147,18,1,5509.03
267,1147,26,3,4070.28
268,1147,15,1,4574.17
269,1148,30,1,1836.07
270,1148,8,1,5040.36
271,1148,45,1,2266.41
