order_id,customer_id,order_date,status
1001,127,2024-12-19,Cancelled
1002,66,2024-11-25,Delivered
1003,101,2024-08-27,returned
1004,44,,Delivered
1005,65,2025-08-27,Cancelled
1006,24,2024-04-12,PROCESSING
1007,80,2024-03-17,Processing
1008,1,2025-12-10,Returned
1009,141,2025-01-24,Cancelled
1010,18,2025-07-08,Delivered
1011,148,2024-08-20,Delivered
1012,129,2025-12-21,Delivered
1013,15,2024-02-17,Cancelled
1014,36,2025-03-17,DELIVERED
1015,93,2024-06-23,delivered
1016,124,2025-05-24,delivered
1017,5,2025-04-21,Shipped
1018,58,2024-12-19,Shipped
1019,129,2025-04-12,SHIPPED
1020,122,2025-01-25,Cancelled
1021,53,2024-01-23,returned
1022,26,2025-09-12,Processing
1023,118,2025-09-13,CANCELLED
1024,71,2025-10-05,Delivered
1025,32,2025-03-27,Delivered
1026,47,2024-10-29,Cancelled
1027,68,2025-07-06,Cancelled
1028,85,2024-09-20,Processing
1029,66,2024-04-27,Processing
1030,116,2025-11-23,Returned
1031,127,2024-04-02,returned
1032,135,2025-08-21,Returned
1033,56,2025-11-22,Delivered
1034,30,2024-12-01,Delivered
1035,107,2025-12-18,Shipped
1036,24,2024-02-08,Shipped
1037,121,2025-07-04,Delivered
1038,113,2025-03-05,Delivered
1039,9,2025-09-22,Returned
1040,18,2024-08-10,Processing
1041,25,2024-04-11,Cancelled
1042,19,2024-03-03,returned
1043,75,2024-04-03,Delivered
1044,11,2024-02-21,CANCELLED
1045,36,2025-07-21,Delivered
1046,120,2024-12-02,Delivered
1047,142,2024-05-28,Delivered
1048,57,2025-11-07,DELIVERED
1049,59,2024-11-27,DELIVERED
1050,148,2024-04-26,Delivered
1051,39,2025-08-30,Delivered
1052,124,2024-02-14,Shipped
1053,32,2025-05-05,Returned
1054,30,2024-03-16,Delivered
1055,65,2024-10-08,Cancelled
1056,14,2025-04-09,returned
1057,80,2024-08-08,Returned
1058,66,2025-04-09,Returned
1059,32,2024-11-16,Shipped
1060,71,2024-03-09,Delivered
1061,50,2025-01-16,Delivered
1062,30,2025-07-29,Cancelled
1063,113,2024-02-22,Shipped
1064,35,2025-06-03,DELIVERED
1065,61,2025-07-23,CANCELLED
1066,8,2025-07-28,Delivered
1067,137,2024-01-30,delivered
1068,61,2024-01-07,Delivered
1069,85,2024-03-12,Delivered
1070,47,2025-06-27,Delivered
1071,81,2025-01-13,Shipped
1072,40,2025-09-02,Delivered
1073,101,2024-02-20,delivered
1074,58,2025-02-28,shipped
1075,57,2024-10-17,Processing
1076,113,2025-02-08,DELIVERED
1077,71,,Shipped
1078,62,2024-06-28,Delivered
1079,101,2025-07-26,cancelled
1080,10,2025-04-15,Delivered
1081,66,2025-02-18,RETURNED
1082,88,2025-09-24,Processing
1083,46,2025-03-23,delivered
1084,39,2024-11-13,cancelled
1085,129,2024-04-26,Delivered
1086,76,2024-08-29,DELIVERED
1087,39,2024-06-30,Processing
1088,54,2025-04-04,Cancelled
1089,78,2025-03-26,Delivered
1090,141,2025-08-28,Delivered
1091,54,2025-04-07,delivered
1092,47,2025-09-21,Returned
1093,22,2025-04-05,Delivered
1094,78,2024-03-04,processing
1095,44,2025-05-31,delivered
1096,134,2025-06-19,Delivered
1097,143,2025-02-22,Cancelled
1098,76,2025-10-24,CANCELLED
1099,146,2024-09-15,Delivered
1100,73,2024-12-24,Shipped
1101,37,2024-05-12,Delivered
1102,119,2024-05-10,Delivered
1103,25,2024-01-19,Cancelled
1104,91,2025-05-12,DELIVERED
1105,52,2025-06-03,Delivered
1106,101,2024-05-14,RETURNED
1107,1,2024-06-18,PROCESSING
1108,30,2025-09-17,Shipped
1109,120,2025-06-30,Delivered
1110,142,2024-07-17,Cancelled
1111,24,2025-04-17,Shipped
1112,34,2024-06-14,Delivered
1113,129,2024-02-23,Processing
1114,53,2025-12-29,delivered
1115,39,2024-05-30,returned
1116,140,2024-01-28,returned
1117,42,2025-01-18,delivered
1118,128,2024-05-29,delivered
1119,72,,Processing
1120,41,2024-01-20,SHIPPED
1121,36,2025-06-24,RETURNED
1122,25,2024-09-01,Returned
1123,33,,Processing
1124,76,2025-08-11,Delivered
1125,1,2025-09-21,CANCELLED
1126,44,2025-06-20,cancelled
1127,1,2025-07-21,Delivered
1128,85,2025-01-31,CANCELLED
1129,54,2024-09-03,Delivered
1130,40,2024-05-16,Delivered
1131,148,2024-06-28,Processing
1132,94,2024-05-18,Delivered
1133,19,2024-10-27,DELIVERED
1134,32,2025-06-11,Returned
1135,130,2024-02-07,delivered
1136,31,2024-10-06,Delivered
1137,129,2025-03-26,Returned
1138,124,2025-01-11,Shipped
1139,41,2025-03-16,Delivered
1140,41,2024-12-01,Shipped
1141,32,2024-06-19,Processing
1142,142,2025-09-21,returned
1143,39,2025-11-18,Returned
1144,82,2024-02-01,Delivered
1145,105,2024-02-05,delivered
1146,101,2025-08-03,Delivered
1147,18,2025-01-15,Processing
1148,53,2025-01-10,Returned
1149,59,2024-01-27,Delivered
1150,30,2024-04-30,Shipped
1151,110,2025-09-18,Shipped
1152,103,2024-05-05,Delivered
1153,30,2024-03-30,Cancelled
1154,41,2025-07-09,Shipped
1155,63,2024-06-27,Cancelled
1156,103,,Delivered
1157,4,2025-08-09,Cancelled
1158,67,2025-09-18,DELIVERED
1159,25,2025-06-22,Returned
1160,38,2024-05-08,Cancelled
1161,129,2024-12-18,Delivered
1162,20,2025-08-24,Delivered
1163,65,2024-02-26,Delivered
1164,83,2024-11-26,Delivered
1165,146,2024-03-21,shipped
1166,37,2024-11-06,Delivered
1167,107,2024-06-06,Delivered
1168,18,,Delivered
1169,24,2025-10-18,Shipped
1170,141,2025-09-24,Delivered
1171,149,2025-10-19,Shipped
1172,20,2024-10-31,PROCESSING
1173,127,2025-04-20,Delivered
1174,4,2024-12-19,RETURNED
1175,4,2024-09-04,PROCESSING
1176,26,2024-10-24,Returned
1177,82,2024-12-01,CANCELLED
1178,61,2025-05-25,Shipped
1179,93,2025-06-01,Processing
1180,142,2024-02-19,delivered
1181,142,2024-10-19,Delivered
1182,136,2025-01-09,Returned
1183,128,2025-07-29,Delivered
1184,65,2025-05-31,Processing
1185,1,2025-11-27,DELIVERED
1186,66,2025-07-25,Cancelled
1187,37,2025-02-15,DELIVERED
1188,71,2025-06-15,processing
1189,102,2024-11-22,Delivered
1190,141,2025-08-30,Cancelled
1191,9,,Shipped
1192,31,2025-11-20,Delivered
1193,39,2024-01-28,processing
1194,54,2025-08-14,Delivered
1195,88,,returned
1196,57,2024-07-14,Delivered
1197,53,2025-12-08,Delivered
1198,59,2024-03-04,Delivered
1199,50,2025-06-22,Returned
1200,69,2024-12-16,Cancelled
1201,148,2025-12-10,Shipped
1202,127,2024-10-12,shipped
